assured_age,nominee_relation,occupation,policy sumassured,premium,premiumpaymentmode,annual income,holdermaritalstatus,indiv_requirementflag,policy term,policy payment term,product type,channel,fraud category
34,husband,service,"  1,700,000 ","  29,150 ",yearly,"  660,000 ",married,medical,10,10,traditional,bancassurance,misrepresentation
51,son,service,"  800,000 ","  42,904 ",yearly,"  1,000,000 ",married,medical,10,10,traditional,bancassurance,misrepresentation
42,mother,service,"  700,000 ","  20,979 ",yearly,"  780,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
40,husband,service,"  1,300,000 ","  32,607 ",yearly,"  800,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
31,mother,service,"  4,200,000 ","  600,000 ",yearly,"  2,400,000 ",single,non medical,15,10,ulip,bancassurance,misrepresentation
34,spouse,self-employed,"  410,000 ","  25,483 ",half yearly,"  249,000 ",married,non medical,20,10,traditional,retail agency,misrepresentation
55,wife,service,"  1,200,000 ","  120,000 ",monthly,"  720,000 ",married,medical,10,10,ulip,retail agency,misrepresentation
13,father,agriculturist,"  420,000 ","  51,125 ",yearly,"  504,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
28,wife,service,"  420,000 ","  51,125 ",yearly,"  480,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
32,wife,agriculturist,"  420,000 ","  51,125 ",yearly,"  300,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
42,wife,service,"  10,000,000 ","  75,055 ",monthly,"  2,016,000 ",married,medical,43,10,traditional,retail agency,misrepresentation
55,spouse,service,"  1,100,000 ","  102,250 ",yearly,"  864,000 ",married,medical,26,10,traditional,retail agency,misrepresentation
44,husband,service,"  1,100,000 ","  104,500 ",yearly,"  600,000 ",married,non medical,26,10,traditional,retail agency,misrepresentation
36,spouse,agriculturist,"  1,100,000 ","  106,590 ",half yearly,"  360,000 ",married,non medical,36,10,traditional,retail agency,misrepresentation
36,wife,defense retired,"  550,000 ","  51,125 ",yearly,"  420,000 ",married,non medical,36,10,traditional,retail agency,misrepresentation
48,wife,agriculturist,"  1,100,000 ","  106,590 ",half yearly,"  660,000 ",married,medical,36,10,traditional,retail agency,misrepresentation
33,husband,service,"  135,000 ","  10,235 ",yearly,"  180,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
35,wife,business,"  800,000 ","  25,456 ",yearly,"  360,000 ",married,medical,30,10,traditional,retail agency,misrepresentation
29,father,agriculturist,"  1,000,000 ","  38,498 ",yearly,"  240,000 ",single,non medical,25,10,traditional,retail agency,misrepresentation
42,spouse,service,"  500,000 ","  50,000 ",yearly,"  540,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
44,wife,business,"  2,100,000 ","  300,000 ",yearly,"  1,500,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
57,wife,service,"  4,200,000 ","  600,000 ",yearly,"  1,800,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
61,husband,profession,0 ,"  400,000 ",yearly,"  1,700,000 ",married,non medical,10,10,ulip,retail agency,misrepresentation
65,wife,retired,0 ,"  200,000 ",yearly,"  576,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
40,mother,service,0 ,"  500,000 ",yearly,"  1,500,000 ",single,non medical,10,10,ulip,bancassurance,misrepresentation
60,son,defense retired,0 ,"  100,000 ",single,"  600,000 ",married,non medical,15,10,ulip,bancassurance,misrepresentation
60,son,defense retired,0 ,"  100,000 ",yearly,"  600,000 ",married,non medical,15,10,ulip,bancassurance,misrepresentation
44,wife,service,0 ,"  500,000 ",yearly,"  1,500,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
57,son,retired,0 ,"  500,000 ",yearly,"  1,500,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
70,spouse,retired,0 ,"  500,000 ",yearly,"  1,250,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
60,son,retired,0 ,"  200,000 ",yearly,"  2,400,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
22,mother,service,"  400,000 ","  5,000 ",yearly,"  400,000 ",single,non medical,10,10,traditional,retail agency,misrepresentation
42,brother,agriculturist,"  500,000 ","  50,000 ",yearly,"  600,000 ",single,non medical,12,10,ulip,bancassurance,misrepresentation
30,mother,service,"  2,000,000 ","  200,000 ",yearly,"  624,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
30,mother,service,"  2,000,000 ","  200,000 ",yearly,"  660,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
24,mother,service,"  2,000,000 ","  200,000 ",yearly,"  744,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
35,husband,service,"  1,500,000 ","  150,000 ",yearly,"  780,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
30,spouse,service,"  2,000,000 ","  200,000 ",yearly,"  1,800,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
30,father,service,"  2,000,000 ","  200,000 ",yearly,"  600,000 ",single,non medical,12,10,ulip,bancassurance,misrepresentation
40,wife,service,"  2,000,000 ","  200,000 ",yearly,"  650,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,wife,service,"  500,000 ","  50,000 ",yearly,"  480,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
47,daughter,service,"  2,000,000 ","  200,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,retail agency,misrepresentation
54,daughter,service,"  500,000 ","  50,000 ",yearly,"  720,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
48,daughter,service,"  999,000 ","  99,900 ",yearly,"  1,000,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
30,daughter,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",widowed,non medical,12,10,ulip,retail agency,misrepresentation
30,son,service,"  1,000,000 ","  100,000 ",yearly,"  600,000 ",widowed,non medical,12,10,ulip,retail agency,misrepresentation
30,son,service,"  500,000 ","  50,000 ",yearly,"  600,000 ",widowed,non medical,12,10,ulip,retail agency,misrepresentation
41,wife,agriculturist,"  1,500,000 ","  150,000 ",yearly,"  500,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
40,son,business,"  330,000 ","  52,686 ",yearly,"  360,000 ",married,non medical,12,10,traditional,bancassurance,misrepresentation
41,mother,service,"  1,270,500 ","  172,425 ",yearly,"  600,000 ",single,non medical,15,10,traditional,bancassurance,misrepresentation
40,spouse,service,"  420,000 ","  52,250 ",yearly,"  780,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
38,son,service,"  840,000 ","  104,500 ",yearly,"  480,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
27,son,housewife,"  420,000 ","  52,250 ",yearly,"  600,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
27,daughter,housewife,"  420,000 ","  52,250 ",yearly,"  600,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
48,daughter,service,"  1,158,000 ","  201,685 ",yearly,"  1,000,000 ",married,non medical,12,10,traditional,bancassurance,misrepresentation
58,daughter,retired,"  315,000 ","  51,125 ",yearly,"  300,000 ",widowed,medical,15,10,traditional,retail agency,misrepresentation
75,son,retired,0 ,"  10,000,000 ",single,"  20,000,000 ",married,non medical,45,10,pension,bancassurance,misrepresentation
34,wife,service,"  1,100,000 ","  104,500 ",yearly,"  708,000 ",married,non medical,23,10,traditional,bancassurance,misrepresentation
33,spouse,service,"  550,000 ","  51,125 ",yearly,"  600,000 ",married,non medical,26,10,traditional,institutional alliance,misrepresentation
57,wife,retired,"  1,100,000 ","  104,500 ",yearly,"  1,600,000 ",married,medical,23,10,traditional,bancassurance,misrepresentation
56,wife,service,"  1,650,000 ","  156,750 ",yearly,"  720,000 ",married,medical,36,10,traditional,retail agency,misrepresentation
37,husband,service,"  1,650,000 ","  153,375 ",yearly,"  720,000 ",married,non medical,36,10,traditional,retail agency,misrepresentation
45,husband,profession,"  1,100,000 ","  104,500 ",yearly,"  420,000 ",married,non medical,36,10,traditional,retail agency,misrepresentation
47,daughter,service,"  2,200,000 ","  209,000 ",yearly,"  720,000 ",married,medical,36,10,traditional,retail agency,misrepresentation
18,mother,student,"  1,650,000 ","  156,750 ",yearly,"  840,000 ",single,non medical,36,10,traditional,retail agency,misrepresentation
21,mother,service,"  2,200,000 ","  204,500 ",yearly,"  1,440,000 ",single,non medical,36,10,traditional,retail agency,misrepresentation
45,husband,service,"  2,200,000 ","  204,500 ",yearly,"  1,900,000 ",married,non medical,36,10,traditional,retail agency,misrepresentation
56,spouse,service,"  2,200,000 ","  204,500 ",yearly,"  1,100,000 ",married,medical,26,10,traditional,retail agency,misrepresentation
48,husband,service,"  1,100,000 ","  104,500 ",yearly,"  540,000 ",married,non medical,26,10,traditional,bancassurance,misrepresentation
10,spouse,profession,"  1,100,000 ","  104,500 ",yearly,"  2,400,000 ",married,non medical,26,10,traditional,retail agency,misrepresentation
10,spouse,profession,"  1,100,000 ","  104,500 ",yearly,"  2,400,000 ",married,non medical,26,10,traditional,retail agency,misrepresentation
27,father,service,"  2,750,000 ","  255,625 ",yearly,"  1,200,000 ",single,non medical,36,10,traditional,retail agency,misrepresentation
21,mother,service,"  3,300,000 ","  306,750 ",yearly,"  1,440,000 ",single,non medical,36,10,traditional,retail agency,misrepresentation
15,spouse,service,"  4,675,000 ","  444,125 ",yearly,"  6,000,000 ",married,non medical,36,10,traditional,retail agency,misrepresentation
29,mother,service,"  2,750,000 ","  261,250 ",yearly,"  936,000 ",single,non medical,36,10,traditional,retail agency,misrepresentation
26,mother,service,"  2,750,000 ","  261,250 ",yearly,"  720,000 ",single,non medical,36,10,traditional,retail agency,misrepresentation
19,mother,student,"  3,300,000 ","  319,770 ",half yearly,"  1,440,000 ",single,non medical,31,10,traditional,retail agency,misrepresentation
28,father,self-employed,"  5,500,000 ","  511,250 ",yearly,"  2,000,000 ",single,non medical,36,10,traditional,retail agency,misrepresentation
30,mother,service,"  6,600,000 ","  627,000 ",yearly,"  1,920,000 ",single,medical,36,10,traditional,retail agency,misrepresentation
42,wife,business,"  770,000 ","  74,613 ",half yearly,"  500,000 ",married,non medical,36,10,traditional,institutional alliance,misrepresentation
46,wife,service,"  1,650,000 ","  156,750 ",yearly,"  750,000 ",married,non medical,26,10,traditional,retail agency,misrepresentation
45,mother,service,0 ,"  500,000 ",yearly,"  1,300,000 ",married,non medical,10,10,pension,bancassurance,misrepresentation
51,wife,service,"  300,000 ","  31,977 ",half yearly,"  1,000,000 ",married,medical,49,10,traditional,retail agency,misrepresentation
43,mother,service,"  1,500,000 ","  150,000 ",yearly,"  960,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
49,wife,service,"  2,100,000 ","  300,000 ",yearly,"  800,000 ",married,non medical,12,10,ulip,bancassurance,misrepresentation
46,spouse,housewife,"  1,850,000 ","  332,403 ",yearly,"  1,000,000 ",married,non medical,15,10,traditional,bancassurance,document tampering
25,father,student,"  4,200,000 ","  600,000 ",yearly,"  840,000 ",single,non medical,10,10,ulip,bancassurance,document tampering
8,spouse,retired,"  4,200,000 ","  600,000 ",yearly,"  1,200,000 ",married,non medical,10,10,ulip,bancassurance,document tampering
54,husband,housewife,"  4,200,000 ","  600,000 ",yearly,"  2,000,000 ",married,medical,10,10,ulip,bancassurance,document tampering
18,father,student,"  4,200,000 ","  600,000 ",yearly,"  2,000,000 ",single,non medical,10,10,ulip,bancassurance,document tampering
23,father,student,"  4,200,000 ","  600,000 ",yearly,"  2,000,000 ",single,non medical,10,10,ulip,bancassurance,document tampering
18,father,student,"  4,200,000 ","  600,000 ",yearly,"  1,500,000 ",single,non medical,10,10,ulip,bancassurance,document tampering
18,father,student,"  4,200,000 ","  600,000 ",yearly,"  1,500,000 ",single,non medical,10,10,ulip,bancassurance,document tampering
13,spouse,retired,"  4,200,000 ","  600,000 ",yearly,"  2,160,000 ",married,non medical,10,10,ulip,bancassurance,document tampering
20,father,student,"  4,200,000 ","  600,000 ",yearly,"  2,400,000 ",single,non medical,10,10,ulip,bancassurance,document tampering
19,father,student,"  4,200,000 ","  600,000 ",yearly,"  2,000,000 ",single,non medical,10,10,ulip,bancassurance,document tampering
22,father,student,"  4,200,000 ","  600,000 ",yearly,"  3,000,000 ",married,non medical,10,10,ulip,bancassurance,document tampering
13,spouse,retired,"  4,200,000 ","  600,000 ",yearly,"  2,160,000 ",married,non medical,10,10,ulip,bancassurance,document tampering
25,mother,student,"  4,200,000 ","  600,000 ",yearly,"  2,400,000 ",single,non medical,10,10,ulip,bancassurance,document tampering
20,mother,student,"  3,150,000 ","  511,250 ",yearly,"  2,550,000 ",single,non medical,12,10,traditional,bancassurance,document tampering
22,father,student,"  3,150,000 ","  511,250 ",yearly,"  2,000,000 ",single,non medical,12,10,traditional,bancassurance,document tampering
25,mother,business,"  2,520,000 ","  306,750 ",yearly,"  1,600,000 ",single,non medical,15,10,traditional,bancassurance,document tampering
11,spouse,service,"  5,225,000 ","  485,688 ",yearly,"  1,500,000 ",married,non medical,36,10,traditional,bancassurance,document tampering
13,spouse,housewife,"  5,225,000 ","  485,688 ",yearly,"  1,300,000 ",married,non medical,36,10,traditional,bancassurance,document tampering
10,spouse,business,"  5,225,000 ","  485,688 ",yearly,"  1,500,000 ",married,non medical,36,10,traditional,bancassurance,document tampering
53,wife,service,"  100,000 ","  18,920 ",yearly,"  600,000 ",married,non medical,7,10,traditional,bancassurance,misrepresentation
51,wife,service,"  100,000 ","  18,708 ",yearly,"  600,000 ",married,non medical,7,10,traditional,bancassurance,misrepresentation
57,wife,service,"  150,000 ","  29,193 ",yearly,"  480,000 ",married,medical,7,10,traditional,bancassurance,misrepresentation
46,husband,service,"  400,000 ","  72,264 ",yearly,"  1,200,000 ",married,non medical,7,10,traditional,retail agency,misrepresentation
47,wife,service,"  270,000 ","  49,964 ",monthly,"  800,000 ",married,non medical,7,10,traditional,retail agency,misrepresentation
34,wife,agriculturist,"  150,000 ","  15,000 ",yearly,"  360,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
39,wife,service,"  300,000 ","  30,000 ",yearly,"  300,000 ",married,non medical,10,10,ulip,bancassurance,misrepresentation
38,spouse,agriculturist,"  240,000 ","  24,000 ",half yearly,"  180,000 ",married,non medical,15,10,ulip,retail agency,misrepresentation
39,wife,profession,"  275,000 ","  5,000 ",yearly,"  720,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
42,spouse,business,"  200,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
54,son,business,"  30,000 ","  1,500 ",yearly,"  180,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
30,wife,self-employed,"  475,000 ","  5,000 ",yearly,"  180,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
44,wife,agriculturist,"  200,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
40,wife,self-employed,"  275,000 ","  5,000 ",yearly,"  180,000 ",married,non medical,15,10,traditional,retail agency,document tampering
39,son,self-employed,"  275,000 ","  5,000 ",yearly,"  210,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
33,daughter,service,"  350,000 ","  5,000 ",yearly,"  360,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
25,husband,housewife,"  475,000 ","  5,000 ",yearly,"  350,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
54,son,self-employed,"  100,000 ","  5,000 ",yearly,"  288,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
39,wife,business,"  275,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
49,son,agriculturist,"  150,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
43,wife,agriculturist,"  175,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
55,son,business,"  100,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
40,son,business,"  250,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
47,son,agriculturist,"  150,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,wife,service,"  150,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
33,mother,business,"  325,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
27,wife,business,"  475,000 ","  5,000 ",yearly,"  252,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
47,daughter,self-employed,"  150,000 ","  5,000 ",yearly,"  249,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
34,wife,agriculturist,"  325,000 ","  5,000 ",yearly,"  144,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
44,wife,service,"  200,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
53,wife,retired,"  100,000 ","  5,000 ",yearly,"  1,660,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
26,father,self-employed,"  475,000 ","  5,000 ",yearly,"  249,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
38,wife,business,"  275,000 ","  5,000 ",yearly,"  300,000 ",married,medical,15,10,traditional,retail agency,misrepresentation
32,wife,business,"  350,000 ","  5,000 ",yearly,"  310,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
41,wife,agriculturist,"  200,000 ","  5,000 ",yearly,"  180,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
46,son,housewife,"  150,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
30,father,profession,"  475,000 ","  5,000 ",yearly,"  300,000 ",single,medical,15,10,traditional,retail agency,misrepresentation
36,wife,business,"  275,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,wife,agriculturist,"  150,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
38,husband,business,"  275,000 ","  5,000 ",yearly,"  225,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
45,wife,business,"  200,000 ","  5,000 ",yearly,"  225,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
32,wife,business,"  325,000 ","  5,000 ",yearly,"  180,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
55,wife,profession,"  100,000 ","  5,000 ",yearly,"  360,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
49,wife,business,"  150,000 ","  5,000 ",yearly,"  215,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
43,wife,agriculturist,"  87,500 ","  2,500 ",yearly,"  150,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
49,son,self-employed,"  150,000 ","  5,000 ",yearly,"  300,000 ",married,medical,15,10,traditional,retail agency,misrepresentation
43,spouse,self-employed,"  70,000 ","  2,000 ",yearly,"  240,000 ",married,non medical,10,10,traditional,institutional alliance,misrepresentation
44,son,self-employed,"  200,000 ","  5,000 ",yearly,"  180,000 ",married,non medical,15,10,traditional,institutional alliance,misrepresentation
49,spouse,agriculturist,"  125,000 ","  5,000 ",yearly,"  300,000 ",married,medical,10,10,traditional,institutional alliance,misrepresentation
27,brother,service,"  475,000 ","  5,000 ",yearly,"  200,000 ",single,non medical,15,10,traditional,retail agency,misrepresentation
46,wife,business,"  150,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,daughter,housewife,"  150,000 ","  5,000 ",yearly,"  259,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
39,son,business,"  275,000 ","  5,000 ",yearly,"  235,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
36,spouse,business,"  275,000 ","  5,000 ",yearly,"  540,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
55,wife,business,"  100,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
37,wife,agriculturist,"  275,000 ","  5,000 ",yearly,"  360,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
40,wife,business,"  275,000 ","  5,000 ",yearly,"  400,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
55,daughter,agriculturist,"  100,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
54,wife,business,"  100,000 ","  5,000 ",yearly,"  310,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
33,spouse,agriculturist,"  350,000 ","  5,000 ",yearly,"  276,000 ",married,medical,15,10,traditional,retail agency,misrepresentation
35,mother,self-employed,"  350,000 ","  5,000 ",yearly,"  300,000 ",single,non medical,15,10,traditional,retail agency,misrepresentation
46,son,business,"  150,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
55,son,profession,"  30,000 ","  1,500 ",yearly,"  310,000 ",married,non medical,15,10,traditional,bancassurance,misrepresentation
42,spouse,business,"  200,000 ","  5,000 ",yearly,"  260,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
46,sister,business,"  125,000 ","  5,000 ",yearly,"  300,000 ",single,non medical,10,10,traditional,retail agency,misrepresentation
38,spouse,housewife,"  275,000 ","  5,000 ",yearly,"  245,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
53,wife,service,"  100,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
45,wife,business,"  200,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
46,wife,agriculturist,"  150,000 ","  5,000 ",yearly,"  420,000 ",married,medical,15,10,traditional,retail agency,misrepresentation
50,spouse,agriculturist,"  125,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
48,spouse,service,"  125,000 ","  5,000 ",yearly,"  600,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
37,wife,business,"  275,000 ","  5,000 ",yearly,"  238,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
38,wife,self-employed,"  275,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
44,spouse,profession,"  200,000 ","  5,000 ",yearly,"  300,000 ",married,medical,15,10,traditional,retail agency,misrepresentation
50,wife,business,"  150,000 ","  5,000 ",yearly,"  360,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
52,spouse,business,"  100,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
38,wife,business,"  275,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
39,wife,self-employed,"  250,000 ","  5,000 ",yearly,"  325,000 ",married,medical,10,10,traditional,retail agency,misrepresentation
36,husband,business,"  275,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
44,wife,business,"  200,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
45,son,business,"  200,000 ","  5,000 ",yearly,"  420,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
43,wife,business,"  175,000 ","  5,000 ",yearly,"  360,000 ",married,non medical,10,10,traditional,retail agency,misrepresentation
48,wife,agriculturist,"  150,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
41,spouse,self-employed,"  200,000 ","  5,000 ",yearly,"  120,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
43,son,agriculturist,"  175,000 ","  5,000 ",yearly,"  396,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
47,son,agriculturist,"  150,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
43,son,business,"  200,000 ","  5,000 ",yearly,"  215,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
54,son,service,"  100,000 ","  5,000 ",yearly,"  600,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
48,son,self-employed,"  150,000 ","  5,000 ",yearly,"  250,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
54,son,service,"  100,000 ","  5,000 ",yearly,"  150,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
46,wife,agriculturist,"  125,000 ","  5,000 ",yearly,"  720,000 ",married,non medical,10,10,traditional,bancassurance,misrepresentation
34,wife,agriculturist,"  350,000 ","  5,000 ",yearly,"  300,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
37,wife,self-employed,"  275,000 ","  5,000 ",yearly,"  240,000 ",married,non medical,15,10,traditional,retail agency,misrepresentation
50,wife,business,"  150,000 ","  5,000 ",yearly,"  240,000 ",married,medical,15,10,traditional,retail agency,misrepresentation
